Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
637,Market year,2022/23,15,Million bushels,Imports,Soybeans,Crops
638,Market year,2022/23,4565,Million bushels,Production,Soybeans,Crops
639,Market year,2022/23,4835,Million bushels,Total supply,Soybeans,Crops
640,Market year,2022/23,2230,Million bushels,Crush,Soybeans,Crops
641,Market year,2022/23,140,Million bushels,Seed and residual,Soybeans,Crops
642,Market year,2022/23,4565,Million bushels,Total use,Soybeans,Crops
643,Market year,2022/23,2195,Million bushels,Exports,Soybeans,Crops
644,Market year,2022/23,345,Dollars per acre,Net returns,Soybeans,Crops
645,Market year,2022/23,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
646,Market year,2022/23,2.29,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
647,Market year,2022/23,9.9,Dollars per bushel,Farm price,Soybeans,Crops
648,Market year,2022/23,5.9,Percent,"Stocks/use ratio, percent",Soybeans,Crops
649,Market year,2022/23,161,Dollars,Variable cost of production (per acre),Soybeans,Crops
650,Market year,2022/23,3.15,Dollars,Variable cost of production (per bushel),Soybeans,Crops
651,Market year,2022/23,51.1,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
652,Market year,2022/23,10,Million acres,Harvested acres,Upland Cotton,Crops
653,Market year,2022/23,11.8,Million acres,Planted acres,Upland Cotton,Crops
654,Market year,2022/23,6360,Thousand bales,Beginning stocks,Upland Cotton,Crops
655,Market year,2022/23,6130,Thousand bales,Ending stocks,Upland Cotton,Crops
656,Market year,2022/23,5,Thousand bales,Imports,Upland Cotton,Crops
657,Market year,2022/23,17900,Thousand bales,Production,Upland Cotton,Crops
658,Market year,2022/23,24265,Thousand bales,Total supply,Upland Cotton,Crops
659,Market year,2022/23,2630,Thousand bales,Domestic use,Upland Cotton,Crops
660,Market year,2022/23,18080,Thousand bales,Total use,Upland Cotton,Crops
661,Market year,2022/23,15450,Thousand bales,Exports,Upland Cotton,Crops
662,Market year,2022/23,215,Dollars per acre,Net returns,Upland Cotton,Crops
663,Market year,2022/23,33.9,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
664,Market year,2022/23,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
665,Market year,2022/23,0.655,Dollars per pound,Farm price,Upland Cotton,Crops
666,Market year,2022/23,457,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
667,Market year,2022/23,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
668,Market year,2022/23,855,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
669,Market year,2022/23,38.5,Million acres,Harvested acres,Wheat,Crops
670,Market year,2022/23,46,Million acres,Planted acres,Wheat,Crops
671,Market year,2022/23,830,Million bushels,Beginning stocks,Wheat,Crops
672,Market year,2022/23,796,Million bushels,Ending stocks,Wheat,Crops
673,Market year,2022/23,125,Million bushels,Imports,Wheat,Crops
674,Market year,2022/23,1906,Million bushels,Production,Wheat,Crops
675,Market year,2022/23,2861,Million bushels,Total supply,Wheat,Crops
676,Market year,2022/23,1115,Million bushels,Domestic use,Wheat,Crops
677,Market year,2022/23,963,Million bushels,Food,Wheat,Crops
678,Market year,2022/23,90,Million bushels,Feed & residual,Wheat,Crops
679,Market year,2022/23,62,Million bushels,Seed,Wheat,Crops
680,Market year,2022/23,2065,Million bushels,Total use,Wheat,Crops
681,Market year,2022/23,950,Million bushels,Exports,Wheat,Crops
682,Market year,2022/23,114,Dollars per acre,Net returns,Wheat,Crops
683,Market year,2022/23,3.38,Dollars per bushel,Loan rate,Wheat,Crops
684,Market year,2022/23,4.95,Dollars per bushel,Farm price,Wheat,Crops
685,Market year,2022/23,38.5,Percent,"Stocks/use ratio, percent",Wheat,Crops
686,Market year,2022/23,131,Dollars,Variable cost of production (per acre),Wheat,Crops
687,Market year,2022/23,2.65,Dollars,Variable cost of production (per bushel),Wheat,Crops
688,Market year,2022/23,49.5,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
689,Market year,2023/24,2.2,Million acres,Harvested acres,Barley,Crops
690,Market year,2023/24,2.6,Million acres,Planted acres,Barley,Crops
691,Market year,2023/24,83,Million bushels,Beginning stocks,Barley,Crops
692,Market year,2023/24,82,Million bushels,Ending stocks,Barley,Crops
693,Market year,2023/24,10,Million bushels,Imports,Barley,Crops
694,Market year,2023/24,172,Million bushels,Production,Barley,Crops
695,Market year,2023/24,265,Million bushels,Total supply,Barley,Crops
696,Market year,2023/24,178,Million bushels,Domestic use,Barley,Crops
697,Market year,2023/24,143,Million bushels,"Food, seed, & industrial",Barley,Crops
698,Market year,2023/24,35,Million bushels,Feed & residual,Barley,Crops
699,Market year,2023/24,183,Million bushels,Total use,Barley,Crops
700,Market year,2023/24,5,Million bushels,Exports,Barley,Crops
701,Market year,2023/24,179,Dollars per acre,Net returns,Barley,Crops
702,Market year,2023/24,2.5,Dollars per bushel,Loan rate,Barley,Crops
703,Market year,2023/24,4.55,Dollars per bushel,Farm price,Barley,Crops
704,Market year,2023/24,44.8,Percent,"Stocks/use ratio, percent",Barley,Crops
705,Market year,2023/24,177,Dollars,Variable cost of production (per acre),Barley,Crops
706,Market year,2023/24,2.26,Dollars,Variable cost of production (per bushel),Barley,Crops
707,Market year,2023/24,78.2,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
708,Market year,2023/24,82.5,Million acres,Harvested acres,Corn,Crops
709,Market year,2023/24,90,Million acres,Planted acres,Corn,Crops
710,Market year,2023/24,2367,Million bushels,Beginning stocks,Corn,Crops
711,Market year,2023/24,2442,Million bushels,Ending stocks,Corn,Crops
712,Market year,2023/24,25,Million bushels,Imports,Corn,Crops
713,Market year,2023/24,15220,Million bushels,Production,Corn,Crops
714,Market year,2023/24,17612,Million bushels,Total supply,Corn,Crops
715,Market year,2023/24,12745,Million bushels,Domestic use,Corn,Crops
716,Market year,2023/24,5125,Million bushels,Ethanol and by-products,Corn,Crops
717,Market year,2023/24,6545,Million bushels,"Food, seed, & industrial",Corn,Crops
718,Market year,2023/24,6200,Million bushels,Feed & residual,Corn,Crops
719,Market year,2023/24,15170,Million bushels,Total use,Corn,Crops
720,Market year,2023/24,2425,Million bushels,Exports,Corn,Crops
721,Market year,2023/24,328,Dollars per acre,Net returns,Corn,Crops
722,Market year,2023/24,2.2,Dollars per bushel,Loan rate,Corn,Crops
723,Market year,2023/24,3.6,Dollars per bushel,Farm price,Corn,Crops
724,Market year,2023/24,16.1,Percent,"Stocks/use ratio, percent",Corn,Crops
725,Market year,2023/24,336,Dollars,Variable cost of production (per acre),Corn,Crops
726,Market year,2023/24,1.82,Dollars,Variable cost of production (per bushel),Corn,Crops
727,Market year,2023/24,184.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
728,Market year,2023/24,1,Million acres,Harvested acres,Oats,Crops
729,Market year,2023/24,2.8,Million acres,Planted acres,Oats,Crops
730,Market year,2023/24,39,Million bushels,Beginning stocks,Oats,Crops
731,Market year,2023/24,38,Million bushels,Ending stocks,Oats,Crops
732,Market year,2023/24,95,Million bushels,Imports,Oats,Crops
733,Market year,2023/24,67,Million bushels,Production,Oats,Crops
734,Market year,2023/24,201,Million bushels,Total supply,Oats,Crops
735,Market year,2023/24,161,Million bushels,Domestic use,Oats,Crops
736,Market year,2023/24,81,Million bushels,"Food, seed, & industrial",Oats,Crops
737,Market year,2023/24,80,Million bushels,Feed & residual,Oats,Crops
738,Market year,2023/24,163,Million bushels,Total use,Oats,Crops
739,Market year,2023/24,2,Million bushels,Exports,Oats,Crops
740,Market year,2023/24,49,Dollars per acre,Net returns,Oats,Crops
741,Market year,2023/24,2,Dollars per bushel,Loan rate,Oats,Crops
742,Market year,2023/24,2.65,Dollars per bushel,Farm price,Oats,Crops
743,Market year,2023/24,23.3,Percent,"Stocks/use ratio, percent",Oats,Crops
744,Market year,2023/24,129,Dollars,Variable cost of production (per acre),Oats,Crops
745,Market year,2023/24,1.93,Dollars,Variable cost of production (per bushel),Oats,Crops
746,Market year,2023/24,67.2,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
747,Market year,2023/24,2650,Thousand acres,Harvested acres,Rice,Crops
748,Market year,2023/24,2700,Thousand acres,Planted acres,Rice,Crops
749,Market year,2023/24,442,Dollars per acre,Net returns,Rice,Crops
750,Market year,2023/24,15.6,Percent,"Stocks/use ratio, percent",Rice,Crops
751,Market year,2023/24,7,Dollars per hundredweight,Loan rate,Rice,Crops
752,Market year,2023/24,13.1,Dollars per hundredweight,Farm price,Rice,Crops
753,Market year,2023/24,567,Dollars,Variable cost of production (per acre),Rice,Crops
754,Market year,2023/24,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
755,Market year,2023/24,38.5,Million hundredweight,Beginning stocks,Rice,Crops
756,Market year,2023/24,38.2,Million hundredweight,Ending stocks,Rice,Crops
757,Market year,2023/24,70,Million hundredweight,"Milling rate, percent",Rice,Crops
758,Market year,2023/24,41.5,Million hundredweight,Imports,Rice,Crops
759,Market year,2023/24,204.1,Million hundredweight,Production,Rice,Crops
760,Market year,2023/24,284.1,Million hundredweight,Total supply,Rice,Crops
761,Market year,2023/24,146.8,Million hundredweight,Domestic use & residual,Rice,Crops
762,Market year,2023/24,245.8,Million hundredweight,Total use,Rice,Crops
763,Market year,2023/24,99,Million hundredweight,Exports,Rice,Crops
764,Market year,2023/24,7702,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
765,Market year,2023/24,6.2,Million acres,Harvested acres,Sorghum,Crops
766,Market year,2023/24,7,Million acres,Planted acres,Sorghum,Crops
767,Market year,2023/24,34,Million bushels,Beginning stocks,Sorghum,Crops
768,Market year,2023/24,36,Million bushels,Ending stocks,Sorghum,Crops
769,Market year,2023/24,0,Million bushels,Imports,Sorghum,Crops
770,Market year,2023/24,427,Million bushels,Production,Sorghum,Crops
771,Market year,2023/24,461,Million bushels,Total supply,Sorghum,Crops
772,Market year,2023/24,110,Million bushels,Domestic use,Sorghum,Crops
773,Market year,2023/24,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
774,Market year,2023/24,70,Million bushels,Feed & residual,Sorghum,Crops
775,Market year,2023/24,425,Million bushels,Total use,Sorghum,Crops
776,Market year,2023/24,315,Million bushels,Exports,Sorghum,Crops
777,Market year,2023/24,128,Dollars per acre,Net returns,Sorghum,Crops
778,Market year,2023/24,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
779,Market year,2023/24,3.75,Dollars per bushel,Farm price,Sorghum,Crops
780,Market year,2023/24,8.5,Percent,"Stocks/use ratio, percent",Sorghum,Crops
781,Market year,2023/24,130,Dollars,Variable cost of production (per acre),Sorghum,Crops
782,Market year,2023/24,1.89,Dollars,Variable cost of production (per bushel),Sorghum,Crops
783,Market year,2023/24,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
784,Market year,2023/24,345,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
785,Market year,2023/24,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
786,Market year,2023/24,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
787,Market year,2023/24,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
788,Market year,2023/24,53700,Thousand short tons,Total use,Soybean meal,Crops
789,Market year,2023/24,400,Thousand short tons,Imports,Soybean meal,Crops
790,Market year,2023/24,53300,Thousand short tons,Production,Soybean meal,Crops
791,Market year,2023/24,54100,Thousand short tons,Total supply,Soybean meal,Crops
792,Market year,2023/24,39750,Thousand short tons,Domestic use,Soybean meal,Crops
793,Market year,2023/24,13950,Thousand short tons,Exports,Soybean meal,Crops
794,Market year,2023/24,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
795,Market year,2023/24,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
796,Market year,2023/24,1655,Million pounds,Beginning stocks,Soybean oil,Crops
797,Market year,2023/24,1770,Million pounds,Ending Stocks,Soybean oil,Crops
798,Market year,2023/24,26575,Million pounds,Total use,Soybean oil,Crops
799,Market year,2023/24,450,Million pounds,Imports,Soybean oil,Crops
800,Market year,2023/24,26240,Million pounds,Production,Soybean oil,Crops
801,Market year,2023/24,28345,Million pounds,Total supply,Soybean oil,Crops
802,Market year,2023/24,24275,Million pounds,Domestic use,Soybean oil,Crops
803,Market year,2023/24,8250,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
804,Market year,2023/24,2300,Million pounds,Exports,Soybean oil,Crops
805,Market year,2023/24,89.2,Million acres,Harvested acres,Soybeans,Crops
806,Market year,2023/24,90,Million acres,Planted acres,Soybeans,Crops
807,Market year,2023/24,271,Million bushels,Beginning stocks,Soybeans,Crops
808,Market year,2023/24,285,Million bushels,Ending Stocks,Soybeans,Crops
809,Market year,2023/24,15,Million bushels,Imports,Soybeans,Crops
810,Market year,2023/24,4610,Million bushels,Production,Soybeans,Crops
811,Market year,2023/24,4896,Million bushels,Total supply,Soybeans,Crops
812,Market year,2023/24,2260,Million bushels,Crush,Soybeans,Crops
813,Market year,2023/24,141,Million bushels,Seed and residual,Soybeans,Crops
814,Market year,2023/24,4611,Million bushels,Total use,Soybeans,Crops
815,Market year,2023/24,2210,Million bushels,Exports,Soybeans,Crops
816,Market year,2023/24,346,Dollars per acre,Net returns,Soybeans,Crops
817,Market year,2023/24,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
818,Market year,2023/24,2.4,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
819,Market year,2023/24,9.8,Dollars per bushel,Farm price,Soybeans,Crops
820,Market year,2023/24,6.2,Percent,"Stocks/use ratio, percent",Soybeans,Crops
821,Market year,2023/24,161,Dollars,Variable cost of production (per acre),Soybeans,Crops
822,Market year,2023/24,3.11,Dollars,Variable cost of production (per bushel),Soybeans,Crops
823,Market year,2023/24,51.7,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
824,Market year,2023/24,10.2,Million acres,Harvested acres,Upland Cotton,Crops
825,Market year,2023/24,12,Million acres,Planted acres,Upland Cotton,Crops
826,Market year,2023/24,6130,Thousand bales,Beginning stocks,Upland Cotton,Crops
827,Market year,2023/24,5925,Thousand bales,Ending stocks,Upland Cotton,Crops
828,Market year,2023/24,5,Thousand bales,Imports,Upland Cotton,Crops
829,Market year,2023/24,18300,Thousand bales,Production,Upland Cotton,Crops
830,Market year,2023/24,24435,Thousand bales,Total supply,Upland Cotton,Crops
831,Market year,2023/24,2655,Thousand bales,Domestic use,Upland Cotton,Crops
832,Market year,2023/24,18455,Thousand bales,Total use,Upland Cotton,Crops
833,Market year,2023/24,15800,Thousand bales,Exports,Upland Cotton,Crops
834,Market year,2023/24,220,Dollars per acre,Net returns,Upland Cotton,Crops
835,Market year,2023/24,32.1,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
836,Market year,2023/24,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
837,Market year,2023/24,0.66,Dollars per pound,Farm price,Upland Cotton,Crops
838,Market year,2023/24,459,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
839,Market year,2023/24,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
840,Market year,2023/24,860,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
841,Market year,2023/24,38.5,Million acres,Harvested acres,Wheat,Crops
842,Market year,2023/24,46,Million acres,Planted acres,Wheat,Crops
843,Market year,2023/24,796,Million bushels,Beginning stocks,Wheat,Crops
844,Market year,2023/24,776,Million bushels,Ending stocks,Wheat,Crops
845,Market year,2023/24,125,Million bushels,Imports,Wheat,Crops
846,Market year,2023/24,1921,Million bushels,Production,Wheat,Crops
847,Market year,2023/24,2842,Million bushels,Total supply,Wheat,Crops
848,Market year,2023/24,1116,Million bushels,Domestic use,Wheat,Crops
849,Market year,2023/24,965,Million bushels,Food,Wheat,Crops
850,Market year,2023/24,90,Million bushels,Feed & residual,Wheat,Crops
851,Market year,2023/24,61,Million bushels,Seed,Wheat,Crops
852,Market year,2023/24,2066,Million bushels,Total use,Wheat,Crops
853,Market year,2023/24,950,Million bushels,Exports,Wheat,Crops
854,Market year,2023/24,118,Dollars per acre,Net returns,Wheat,Crops
855,Market year,2023/24,3.38,Dollars per bushel,Loan rate,Wheat,Crops
856,Market year,2023/24,5,Dollars per bushel,Farm price,Wheat,Crops
857,Market year,2023/24,37.6,Percent,"Stocks/use ratio, percent",Wheat,Crops
858,Market year,2023/24,131,Dollars,Variable cost of production (per acre),Wheat,Crops
859,Market year,2023/24,2.63,Dollars,Variable cost of production (per bushel),Wheat,Crops
860,Market year,2023/24,49.9,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
861,Market year,2024/25,2.2,Million acres,Harvested acres,Barley,Crops
862,Market year,2024/25,2.6,Million acres,Planted acres,Barley,Crops
863,Market year,2024/25,82,Million bushels,Beginning stocks,Barley,Crops
864,Market year,2024/25,83,Million bushels,Ending stocks,Barley,Crops
865,Market year,2024/25,10,Million bushels,Imports,Barley,Crops
866,Market year,2024/25,174,Million bushels,Production,Barley,Crops
867,Market year,2024/25,266,Million bushels,Total supply,Barley,Crops
868,Market year,2024/25,178,Million bushels,Domestic use,Barley,Crops
869,Market year,2024/25,143,Million bushels,"Food, seed, & industrial",Barley,Crops
870,Market year,2024/25,35,Million bushels,Feed & residual,Barley,Crops
871,Market year,2024/25,183,Million bushels,Total use,Barley,Crops
872,Market year,2024/25,5,Million bushels,Exports,Barley,Crops
873,Market year,2024/25,178,Dollars per acre,Net returns,Barley,Crops
874,Market year,2024/25,2.5,Dollars per bushel,Loan rate,Barley,Crops
875,Market year,2024/25,4.5,Dollars per bushel,Farm price,Barley,Crops
876,Market year,2024/25,45.4,Percent,"Stocks/use ratio, percent",Barley,Crops
877,Market year,2024/25,178,Dollars,Variable cost of production (per acre),Barley,Crops
878,Market year,2024/25,2.25,Dollars,Variable cost of production (per bushel),Barley,Crops
879,Market year,2024/25,79,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
880,Market year,2024/25,82.5,Million acres,Harvested acres,Corn,Crops
881,Market year,2024/25,90,Million acres,Planted acres,Corn,Crops
882,Market year,2024/25,2442,Million bushels,Beginning stocks,Corn,Crops
883,Market year,2024/25,2562,Million bushels,Ending stocks,Corn,Crops
884,Market year,2024/25,25,Million bushels,Imports,Corn,Crops
885,Market year,2024/25,15385,Million bushels,Production,Corn,Crops
886,Market year,2024/25,17852,Million bushels,Total supply,Corn,Crops
887,Market year,2024/25,12815,Million bushels,Domestic use,Corn,Crops
888,Market year,2024/25,5125,Million bushels,Ethanol and by-products,Corn,Crops
889,Market year,2024/25,6540,Million bushels,"Food, seed, & industrial",Corn,Crops
890,Market year,2024/25,6275,Million bushels,Feed & residual,Corn,Crops
891,Market year,2024/25,15290,Million bushels,Total use,Corn,Crops
892,Market year,2024/25,2475,Million bushels,Exports,Corn,Crops
893,Market year,2024/25,326,Dollars per acre,Net returns,Corn,Crops
894,Market year,2024/25,2.2,Dollars per bushel,Loan rate,Corn,Crops
895,Market year,2024/25,3.55,Dollars per bushel,Farm price,Corn,Crops
896,Market year,2024/25,16.8,Percent,"Stocks/use ratio, percent",Corn,Crops
897,Market year,2024/25,336,Dollars,Variable cost of production (per acre),Corn,Crops
898,Market year,2024/25,1.8,Dollars,Variable cost of production (per bushel),Corn,Crops
899,Market year,2024/25,186.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
900,Market year,2024/25,1,Million acres,Harvested acres,Oats,Crops
901,Market year,2024/25,2.8,Million acres,Planted acres,Oats,Crops
902,Market year,2024/25,38,Million bushels,Beginning stocks,Oats,Crops
903,Market year,2024/25,37,Million bushels,Ending stocks,Oats,Crops
904,Market year,2024/25,95,Million bushels,Imports,Oats,Crops
905,Market year,2024/25,68,Million bushels,Production,Oats,Crops
906,Market year,2024/25,201,Million bushels,Total supply,Oats,Crops
907,Market year,2024/25,162,Million bushels,Domestic use,Oats,Crops
908,Market year,2024/25,82,Million bushels,"Food, seed, & industrial",Oats,Crops
909,Market year,2024/25,80,Million bushels,Feed & residual,Oats,Crops
910,Market year,2024/25,164,Million bushels,Total use,Oats,Crops
911,Market year,2024/25,2,Million bushels,Exports,Oats,Crops
912,Market year,2024/25,49,Dollars per acre,Net returns,Oats,Crops
913,Market year,2024/25,2,Dollars per bushel,Loan rate,Oats,Crops
914,Market year,2024/25,2.65,Dollars per bushel,Farm price,Oats,Crops
915,Market year,2024/25,22.6,Percent,"Stocks/use ratio, percent",Oats,Crops
916,Market year,2024/25,130,Dollars,Variable cost of production (per acre),Oats,Crops
917,Market year,2024/25,1.93,Dollars,Variable cost of production (per bushel),Oats,Crops
918,Market year,2024/25,67.5,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
919,Market year,2024/25,2650,Thousand acres,Harvested acres,Rice,Crops
920,Market year,2024/25,2700,Thousand acres,Planted acres,Rice,Crops
921,Market year,2024/25,459,Dollars per acre,Net returns,Rice,Crops
922,Market year,2024/25,15.6,Percent,"Stocks/use ratio, percent",Rice,Crops
923,Market year,2024/25,7,Dollars per hundredweight,Loan rate,Rice,Crops
924,Market year,2024/25,13.3,Dollars per hundredweight,Farm price,Rice,Crops
925,Market year,2024/25,569,Dollars,Variable cost of production (per acre),Rice,Crops
926,Market year,2024/25,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
927,Market year,2024/25,38.2,Million hundredweight,Beginning stocks,Rice,Crops
928,Market year,2024/25,38.5,Million hundredweight,Ending stocks,Rice,Crops
929,Market year,2024/25,70,Million hundredweight,"Milling rate, percent",Rice,Crops
930,Market year,2024/25,42.5,Million hundredweight,Imports,Rice,Crops
931,Market year,2024/25,204.9,Million hundredweight,Production,Rice,Crops
932,Market year,2024/25,285.6,Million hundredweight,Total supply,Rice,Crops
933,Market year,2024/25,148.2,Million hundredweight,Domestic use & residual,Rice,Crops
934,Market year,2024/25,247.2,Million hundredweight,Total use,Rice,Crops
935,Market year,2024/25,99,Million hundredweight,Exports,Rice,Crops
936,Market year,2024/25,7732,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
937,Market year,2024/25,6.2,Million acres,Harvested acres,Sorghum,Crops
938,Market year,2024/25,7,Million acres,Planted acres,Sorghum,Crops
939,Market year,2024/25,36,Million bushels,Beginning stocks,Sorghum,Crops
940,Market year,2024/25,33,Million bushels,Ending stocks,Sorghum,Crops
941,Market year,2024/25,0,Million bushels,Imports,Sorghum,Crops
942,Market year,2024/25,427,Million bushels,Production,Sorghum,Crops
943,Market year,2024/25,463,Million bushels,Total supply,Sorghum,Crops
944,Market year,2024/25,110,Million bushels,Domestic use,Sorghum,Crops
945,Market year,2024/25,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
946,Market year,2024/25,70,Million bushels,Feed & residual,Sorghum,Crops
947,Market year,2024/25,430,Million bushels,Total use,Sorghum,Crops
948,Market year,2024/25,320,Million bushels,Exports,Sorghum,Crops
949,Market year,2024/25,124,Dollars per acre,Net returns,Sorghum,Crops
950,Market year,2024/25,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
951,Market year,2024/25,3.7,Dollars per bushel,Farm price,Sorghum,Crops
952,Market year,2024/25,7.7,Percent,"Stocks/use ratio, percent",Sorghum,Crops
953,Market year,2024/25,131,Dollars,Variable cost of production (per acre),Sorghum,Crops
954,Market year,2024/25,1.9,Dollars,Variable cost of production (per bushel),Sorghum,Crops
955,Market year,2024/25,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
956,Market year,2024/25,341,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
957,Market year,2024/25,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
958,Market year,2024/25,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
959,Market year,2024/25,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
960,Market year,2024/25,54375,Thousand short tons,Total use,Soybean meal,Crops
961,Market year,2024/25,400,Thousand short tons,Imports,Soybean meal,Crops
962,Market year,2024/25,53975,Thousand short tons,Production,Soybean meal,Crops
963,Market year,2024/25,54775,Thousand short tons,Total supply,Soybean meal,Crops
964,Market year,2024/25,40275,Thousand short tons,Domestic use,Soybean meal,Crops
965,Market year,2024/25,14100,Thousand short tons,Exports,Soybean meal,Crops
966,Market year,2024/25,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
967,Market year,2024/25,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
968,Market year,2024/25,1770,Million pounds,Beginning stocks,Soybean oil,Crops
969,Market year,2024/25,1770,Million pounds,Ending Stocks,Soybean oil,Crops
970,Market year,2024/25,26950,Million pounds,Total use,Soybean oil,Crops
971,Market year,2024/25,350,Million pounds,Imports,Soybean oil,Crops
972,Market year,2024/25,26600,Million pounds,Production,Soybean oil,Crops
973,Market year,2024/25,28720,Million pounds,Total supply,Soybean oil,Crops
974,Market year,2024/25,24550,Million pounds,Domestic use,Soybean oil,Crops
975,Market year,2024/25,8300,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
976,Market year,2024/25,2400,Million pounds,Exports,Soybean oil,Crops
977,Market year,2024/25,89.7,Million acres,Harvested acres,Soybeans,Crops
978,Market year,2024/25,90.5,Million acres,Planted acres,Soybeans,Crops
979,Market year,2024/25,285,Million bushels,Beginning stocks,Soybeans,Crops
980,Market year,2024/25,299,Million bushels,Ending Stocks,Soybeans,Crops
981,Market year,2024/25,15,Million bushels,Imports,Soybeans,Crops
982,Market year,2024/25,4685,Million bushels,Production,Soybeans,Crops
983,Market year,2024/25,4985,Million bushels,Total supply,Soybeans,Crops
984,Market year,2024/25,2290,Million bushels,Crush,Soybeans,Crops
985,Market year,2024/25,141,Million bushels,Seed and residual,Soybeans,Crops
986,Market year,2024/25,4686,Million bushels,Total use,Soybeans,Crops
987,Market year,2024/25,2255,Million bushels,Exports,Soybeans,Crops
988,Market year,2024/25,343,Dollars per acre,Net returns,Soybeans,Crops
989,Market year,2024/25,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
990,Market year,2024/25,2.46,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
991,Market year,2024/25,9.65,Dollars per bushel,Farm price,Soybeans,Crops
992,Market year,2024/25,6.4,Percent,"Stocks/use ratio, percent",Soybeans,Crops
993,Market year,2024/25,161,Dollars,Variable cost of production (per acre),Soybeans,Crops
994,Market year,2024/25,3.08,Dollars,Variable cost of production (per bushel),Soybeans,Crops
995,Market year,2024/25,52.3,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
996,Market year,2024/25,10.4,Million acres,Harvested acres,Upland Cotton,Crops
997,Market year,2024/25,12.2,Million acres,Planted acres,Upland Cotton,Crops
998,Market year,2024/25,5925,Thousand bales,Beginning stocks,Upland Cotton,Crops
999,Market year,2024/25,5975,Thousand bales,Ending stocks,Upland Cotton,Crops
1000,Market year,2024/25,5,Thousand bales,Imports,Upland Cotton,Crops
1001,Market year,2024/25,18700,Thousand bales,Production,Upland Cotton,Crops
1002,Market year,2024/25,24630,Thousand bales,Total supply,Upland Cotton,Crops
1003,Market year,2024/25,2800,Thousand bales,Domestic use,Upland Cotton,Crops
1004,Market year,2024/25,18600,Thousand bales,Total use,Upland Cotton,Crops
1005,Market year,2024/25,15800,Thousand bales,Exports,Upland Cotton,Crops
1006,Market year,2024/25,223,Dollars per acre,Net returns,Upland Cotton,Crops
1007,Market year,2024/25,32.1,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
1008,Market year,2024/25,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
1009,Market year,2024/25,0.665,Dollars per pound,Farm price,Upland Cotton,Crops
1010,Market year,2024/25,462,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
